#Motion Sensor Data File Sep 25, 2017 5:44 PM
#Time (s)	Distance (cm)	Dist Error (cm)
#0.000	17.771	0.239
10.360	20.222	0.239
10.370	20.500	0.239
10.380	20.851	0.239
10.390	21.572	0.239
10.400	22.001	0.239
10.410	22.490	0.239
10.420	22.974	0.239
10.430	23.472	0.239
10.440	23.979	0.239
10.450	24.437	0.239
10.460	24.978	0.239
10.470	25.398	0.239
10.480	25.878	0.239
10.490	26.290	0.239
10.500	26.675	0.239
10.510	27.010	0.239
10.520	27.366	0.239
10.530	27.721	0.239
10.540	28.004	0.239
10.550	28.248	0.239
10.560	28.457	0.239
10.570	28.632	0.239
10.580	28.764	0.239
10.590	28.849	0.239
10.600	28.913	0.239
10.610	28.920	0.239
10.620	28.889	0.239
10.630	28.806	0.239
10.640	28.702	0.239
10.650	28.546	0.239
10.660	28.351	0.239
10.670	28.122	0.239
10.680	27.863	0.239
10.690	27.561	0.239
10.700	27.224	0.239
10.710	26.853	0.239
10.720	26.439	0.239
10.730	26.017	0.239
10.740	25.599	0.239
10.750	25.194	0.239
10.760	24.676	0.239
10.770	24.233	0.239
10.780	23.707	0.239
10.790	23.250	0.239
10.800	22.754	0.239
10.810	22.328	0.239
10.820	21.583	0.239
10.830	21.371	0.239
10.840	20.867	0.239
10.850	20.182	0.239
10.860	20.073	0.239
10.870	19.380	0.239
10.880	19.039	0.239
10.890	18.728	0.239
10.900	18.431	0.239
10.910	18.141	0.239
10.920	18.213	0.239
10.930	17.782	0.239
10.940	17.596	0.239
10.950	17.565	0.239
10.960	16.816	0.239
10.970	17.132	0.239
10.980	17.446	0.239
10.990	17.513	0.239
11.000	16.690	0.239
11.010	17.450	0.239
11.020	17.643	0.239
11.030	18.192	0.239
11.040	18.427	0.239
11.050	18.409	0.239
11.060	18.971	0.239
11.070	19.636	0.239
11.080	19.811	0.239
11.090	20.244	0.239
11.100	20.927	0.239
11.110	21.085	0.239
11.120	21.789	0.239
11.130	22.260	0.239
11.140	22.732	0.239
11.150	23.247	0.239
11.160	23.702	0.239
11.170	24.221	0.239
11.180	24.632	0.239
11.190	25.151	0.239
11.200	25.580	0.239
11.210	25.991	0.239
11.220	26.438	0.239
11.230	26.785	0.239
11.240	27.166	0.239
11.250	27.517	0.239
11.260	27.813	0.239
11.270	28.074	0.239
11.280	28.309	0.239
11.290	28.476	0.239
11.300	28.655	0.239
11.310	28.766	0.239
11.320	28.829	0.239
11.330	28.858	0.239
11.340	28.840	0.239
11.350	28.804	0.239
11.360	28.726	0.239
11.370	28.591	0.239
11.380	28.418	0.239
11.390	28.211	0.239
